k, $d_k(M)$
0, 1
1, 4
2, 10
3, 19
4, 31
5, 46
6, 64
7, 85
8, 109
9, 135
10, 158
11, 173
12, 181
13, 185
14, 185
15, 185
16, 185
17, 185
18, 185
19, 185
20, 185
21, 185
22, 185
23, 185
24, 185
25, 185
26, 185
27, 185
28, 185
29, 185
30, 185
31, 185
32, 185
33, 185
34, 185
35, 185
36, 185
37, 185
38, 185
39, 185
40, 185
41, 185
42, 185
43, 185
44, 185
45, 185
46, 185
47, 185
48, 185
49, 185
50, 185
51, 185
52, 185
53, 185
54, 185
55, 185
56, 185
57, 185
58, 185
59, 185
60, 185
61, 185
62, 185
63, 185
64, 185
65, 185
66, 185
67, 185
68, 185
69, 185
70, 185
71, 185
72, 185
73, 185
74, 185
75, 185
76, 185
77, 185
78, 185
79, 185
80, 185
81, 185
82, 185
83, 185
84, 185
85, 185
86, 185
87, 185
88, 185
89, 185
90, 185
91, 185
92, 185
93, 185
94, 185
95, 185
96, 185
97, 185
98, 185
99, 185
100, 185
