k, $d_k(M)$
0, 1
1, 6
2, 20
3, 45
4, 75
5, 103
6, 130
7, 157
8, 176
9, 182
10, 182
11, 182
12, 182
13, 182
14, 182
15, 182
16, 182
17, 182
18, 182
19, 182
20, 182
21, 182
22, 182
23, 182
24, 182
25, 182
26, 182
27, 182
28, 182
29, 182
30, 182
31, 182
32, 182
33, 182
34, 182
35, 182
36, 182
37, 182
38, 182
39, 182
40, 182
41, 182
42, 182
43, 182
44, 182
45, 182
46, 182
47, 182
48, 182
49, 182
50, 182
51, 182
52, 182
53, 182
54, 182
55, 182
56, 182
57, 182
58, 182
59, 182
60, 182
61, 182
62, 182
63, 182
64, 182
65, 182
66, 182
67, 182
68, 182
69, 182
70, 182
71, 182
72, 182
73, 182
74, 182
75, 182
76, 182
77, 182
78, 182
79, 182
80, 182
81, 182
82, 182
83, 182
84, 182
85, 182
86, 182
87, 182
88, 182
89, 182
90, 182
91, 182
92, 182
93, 182
94, 182
95, 182
96, 182
97, 182
98, 182
99, 182
100, 182
