k, $d_k(M)$
0, 1
1, 6
2, 19
3, 37
4, 55
5, 73
6, 91
7, 108
8, 125
9, 142
10, 159
11, 176
12, 193
13, 210
14, 227
15, 242
16, 249
17, 249
18, 249
19, 249
20, 249
21, 249
22, 249
23, 249
24, 249
25, 249
26, 249
27, 249
28, 249
29, 249
30, 249
31, 249
32, 249
33, 249
34, 249
35, 249
36, 249
37, 249
38, 249
39, 249
40, 249
41, 249
42, 249
43, 249
44, 249
45, 249
46, 249
47, 249
48, 249
49, 249
50, 249
51, 249
52, 249
53, 249
54, 249
55, 249
56, 249
57, 249
58, 249
59, 249
60, 249
61, 249
62, 249
63, 249
64, 249
65, 249
66, 249
67, 249
68, 249
69, 249
70, 249
71, 249
72, 249
73, 249
74, 249
75, 249
76, 249
77, 249
78, 249
79, 249
80, 249
81, 249
82, 249
83, 249
84, 249
85, 249
86, 249
87, 249
88, 249
89, 249
90, 249
91, 249
92, 249
93, 249
94, 249
95, 249
96, 249
97, 249
98, 249
99, 249
100, 249
