k, $d_k(M)$
0, 1
1, 5
2, 15
3, 34
4, 64
5, 104
6, 147
7, 181
8, 200
9, 206
10, 206
11, 206
12, 206
13, 206
14, 206
15, 206
16, 206
17, 206
18, 206
19, 206
20, 206
21, 206
22, 206
23, 206
24, 206
25, 206
26, 206
27, 206
28, 206
29, 206
30, 206
31, 206
32, 206
33, 206
34, 206
35, 206
36, 206
37, 206
38, 206
39, 206
40, 206
41, 206
42, 206
43, 206
44, 206
45, 206
46, 206
47, 206
48, 206
49, 206
50, 206
51, 206
52, 206
53, 206
54, 206
55, 206
56, 206
57, 206
58, 206
59, 206
60, 206
61, 206
62, 206
63, 206
64, 206
65, 206
66, 206
67, 206
68, 206
69, 206
70, 206
71, 206
72, 206
73, 206
74, 206
75, 206
76, 206
77, 206
78, 206
79, 206
80, 206
81, 206
82, 206
83, 206
84, 206
85, 206
86, 206
87, 206
88, 206
89, 206
90, 206
91, 206
92, 206
93, 206
94, 206
95, 206
96, 206
97, 206
98, 206
99, 206
100, 206
