k, $d_k(M)$
0, 1
1, 5
2, 15
3, 33
4, 59
5, 93
6, 135
7, 182
8, 221
9, 236
10, 238
11, 238
12, 238
13, 238
14, 238
15, 238
16, 238
17, 238
18, 238
19, 238
20, 238
21, 238
22, 238
23, 238
24, 238
25, 238
26, 238
27, 238
28, 238
29, 238
30, 238
31, 238
32, 238
33, 238
34, 238
35, 238
36, 238
37, 238
38, 238
39, 238
40, 238
41, 238
42, 238
43, 238
44, 238
45, 238
46, 238
47, 238
48, 238
49, 238
50, 238
51, 238
52, 238
53, 238
54, 238
55, 238
56, 238
57, 238
58, 238
59, 238
60, 238
61, 238
62, 238
63, 238
64, 238
65, 238
66, 238
67, 238
68, 238
69, 238
70, 238
71, 238
72, 238
73, 238
74, 238
75, 238
76, 238
77, 238
78, 238
79, 238
80, 238
81, 238
82, 238
83, 238
84, 238
85, 238
86, 238
87, 238
88, 238
89, 238
90, 238
91, 238
92, 238
93, 238
94, 238
95, 238
96, 238
97, 238
98, 238
99, 238
100, 238
