k, $d_k(M)$
0, 1
1, 3
2, 6
3, 10
4, 15
5, 21
6, 28
7, 36
8, 45
9, 55
10, 66
11, 78
12, 91
13, 104
14, 117
15, 130
16, 143
17, 156
18, 169
19, 181
20, 192
21, 202
22, 211
23, 219
24, 226
25, 232
26, 237
27, 240
28, 241
29, 241
30, 241
31, 241
32, 241
33, 241
34, 241
35, 241
36, 241
37, 241
38, 241
39, 241
40, 241
41, 241
42, 241
43, 241
44, 241
45, 241
46, 241
47, 241
48, 241
49, 241
50, 241
51, 241
52, 241
53, 241
54, 241
55, 241
56, 241
57, 241
58, 241
59, 241
60, 241
61, 241
62, 241
63, 241
64, 241
65, 241
66, 241
67, 241
68, 241
69, 241
70, 241
71, 241
72, 241
73, 241
74, 241
75, 241
76, 241
77, 241
78, 241
79, 241
80, 241
81, 241
82, 241
83, 241
84, 241
85, 241
86, 241
87, 241
88, 241
89, 241
90, 241
91, 241
92, 241
93, 241
94, 241
95, 241
96, 241
97, 241
98, 241
99, 241
100, 241
