k, $d_k(M)$
0, 1
1, 3
2, 6
3, 10
4, 15
5, 21
6, 28
7, 36
8, 45
9, 54
10, 63
11, 72
12, 81
13, 90
14, 99
15, 108
16, 116
17, 123
18, 129
19, 134
20, 137
21, 139
22, 140
23, 140
24, 140
25, 140
26, 140
27, 140
28, 140
29, 140
30, 140
31, 140
32, 140
33, 140
34, 140
35, 140
36, 140
37, 140
38, 140
39, 140
40, 140
41, 140
42, 140
43, 140
44, 140
45, 140
46, 140
47, 140
48, 140
49, 140
50, 140
51, 140
52, 140
53, 140
54, 140
55, 140
56, 140
57, 140
58, 140
59, 140
60, 140
61, 140
62, 140
63, 140
64, 140
65, 140
66, 140
67, 140
68, 140
69, 140
70, 140
71, 140
72, 140
73, 140
74, 140
75, 140
76, 140
77, 140
78, 140
79, 140
80, 140
81, 140
82, 140
83, 140
84, 140
85, 140
86, 140
87, 140
88, 140
89, 140
90, 140
91, 140
92, 140
93, 140
94, 140
95, 140
96, 140
97, 140
98, 140
99, 140
100, 140
