k, $d_k(M)$
0, 1
1, 4
2, 10
3, 19
4, 31
5, 46
6, 64
7, 83
8, 99
9, 106
10, 106
11, 106
12, 106
13, 106
14, 106
15, 106
16, 106
17, 106
18, 106
19, 106
20, 107
21, 108
22, 109
23, 110
24, 110
25, 110
26, 110
27, 110
28, 110
29, 110
30, 110
31, 110
32, 110
33, 110
34, 110
35, 110
36, 110
37, 110
38, 110
39, 110
40, 110
41, 110
42, 110
43, 110
44, 110
45, 110
46, 110
47, 110
48, 110
49, 110
50, 110
51, 110
52, 110
53, 110
54, 110
55, 110
56, 110
57, 110
58, 110
59, 110
60, 110
61, 110
62, 110
63, 110
64, 110
65, 110
66, 110
67, 110
68, 110
69, 110
70, 110
71, 110
72, 110
73, 110
74, 110
75, 110
76, 110
77, 110
78, 110
79, 110
80, 110
81, 110
82, 110
83, 110
84, 110
85, 110
86, 110
87, 110
88, 110
89, 110
90, 110
91, 110
92, 110
93, 110
94, 110
95, 110
96, 110
97, 110
98, 110
99, 110
100, 110
