k, $d_k(M)$
0, 1
1, 5
2, 15
3, 34
4, 62
5, 92
6, 120
7, 146
8, 169
9, 183
10, 184
11, 184
12, 184
13, 184
14, 184
15, 184
16, 184
17, 184
18, 184
19, 184
20, 184
21, 184
22, 184
23, 184
24, 184
25, 184
26, 184
27, 184
28, 184
29, 184
30, 184
31, 184
32, 184
33, 184
34, 184
35, 184
36, 184
37, 184
38, 184
39, 184
40, 184
41, 184
42, 184
43, 184
44, 184
45, 184
46, 184
47, 184
48, 184
49, 184
50, 184
51, 184
52, 184
53, 184
54, 184
55, 184
56, 184
57, 184
58, 184
59, 184
60, 184
61, 184
62, 184
63, 184
64, 184
65, 184
66, 184
67, 184
68, 184
69, 184
70, 184
71, 184
72, 184
73, 184
74, 184
75, 184
76, 184
77, 184
78, 184
79, 184
80, 184
81, 184
82, 184
83, 184
84, 184
85, 184
86, 184
87, 184
88, 184
89, 184
90, 184
91, 184
92, 184
93, 184
94, 184
95, 184
96, 184
97, 184
98, 184
99, 184
100, 184
