k, $d_k(M)$
0, 1
1, 4
2, 10
3, 20
4, 34
5, 52
6, 74
7, 99
8, 125
9, 151
10, 176
11, 199
12, 218
13, 233
14, 244
15, 250
16, 251
17, 251
18, 251
19, 251
20, 251
21, 251
22, 251
23, 251
24, 251
25, 251
26, 251
27, 251
28, 251
29, 251
30, 251
31, 251
32, 251
33, 251
34, 251
35, 251
36, 251
37, 251
38, 251
39, 251
40, 251
41, 251
42, 251
43, 251
44, 251
45, 251
46, 251
47, 251
48, 251
49, 251
50, 251
51, 251
52, 251
53, 251
54, 251
55, 251
56, 251
57, 251
58, 251
59, 251
60, 251
61, 251
62, 251
63, 251
64, 251
65, 251
66, 251
67, 251
68, 251
69, 251
70, 251
71, 251
72, 251
73, 251
74, 251
75, 251
76, 251
77, 251
78, 251
79, 251
80, 251
81, 251
82, 251
83, 251
84, 251
85, 251
86, 251
87, 251
88, 251
89, 251
90, 251
91, 251
92, 251
93, 251
94, 251
95, 251
96, 251
97, 251
98, 251
99, 251
100, 251
