k, $d_k(M)$
0, 1
1, 4
2, 10
3, 20
4, 34
5, 52
6, 74
7, 99
8, 125
9, 150
10, 174
11, 197
12, 218
13, 233
14, 241
15, 243
16, 243
17, 243
18, 243
19, 243
20, 243
21, 243
22, 243
23, 243
24, 243
25, 243
26, 243
27, 243
28, 243
29, 243
30, 243
31, 243
32, 243
33, 243
34, 243
35, 243
36, 243
37, 243
38, 243
39, 243
40, 243
41, 243
42, 243
43, 243
44, 243
45, 243
46, 243
47, 243
48, 243
49, 243
50, 243
51, 243
52, 243
53, 243
54, 243
55, 243
56, 243
57, 243
58, 243
59, 243
60, 243
61, 243
62, 243
63, 243
64, 243
65, 243
66, 243
67, 243
68, 243
69, 243
70, 243
71, 243
72, 243
73, 243
74, 243
75, 243
76, 243
77, 243
78, 243
79, 243
80, 243
81, 243
82, 243
83, 243
84, 243
85, 243
86, 243
87, 243
88, 243
89, 243
90, 243
91, 243
92, 243
93, 243
94, 243
95, 243
96, 243
97, 243
98, 243
99, 243
100, 243
